id,region,municipio,age_group,gender,income
1,Norte,2,50+,F,27679.74
2,Sur,16,30-49,M,22051.59
3,Sur,17,30-49,F,21203.08
4,Sur,9,30-49,F,22663.3
5,Norte,6,30-49,M,27423.49
6,Norte,6,30-49,F,29657.1
7,Norte,7,30-49,F,25225.82
8,Sur,14,50+,F,22795.91
9,Sur,9,30-49,M,20984.74
10,Sur,14,30-49,F,22344.89
11,Norte,4,30-49,M,24789.3
12,Sur,9,30-49,F,24904.38
13,Sur,18,18-29,M,13572.94
14,Norte,8,50+,F,22957.42
15,Norte,7,30-49,F,23850.93
16,Norte,6,30-49,M,34207.17
17,Norte,6,50+,M,24871.49
18,Sur,11,50+,M,20520.26
19,Sur,12,30-49,M,31470.95
20,Norte,8,50+,M,16837.73
21,Sur,16,18-29,F,13626.18
22,Norte,4,30-49,F,24771.43
23,Norte,3,50+,F,18121.68
24,Norte,4,50+,F,23460.75
25,Sur,19,18-29,F,16539.48
26,Sur,12,50+,M,20672.29
27,Norte,3,30-49,M,29575.62
28,Sur,16,50+,M,14089.88
29,Sur,11,30-49,F,18365.65
30,Norte,2,30-49,F,30520.46
31,Sur,11,18-29,M,11265.52
32,Norte,6,50+,F,17061.6
33,Norte,6,30-49,M,23506.51
34,Sur,11,18-29,F,13188.3
35,Sur,13,30-49,M,23158.51
36,Sur,12,50+,M,25521.12
37,Norte,6,50+,F,28668.05
38,Norte,4,50+,F,19098.11
39,Sur,9,18-29,F,15869.81
40,Sur,19,50+,F,17643.93
41,Norte,3,18-29,F,20769.48
42,Sur,15,50+,M,17863.47
43,Norte,4,30-49,F,29172.6
44,Sur,14,30-49,F,21618.8
45,Norte,1,50+,F,22881.5
46,Sur,18,30-49,F,25249.53
47,Norte,3,30-49,M,30798.53
48,Sur,12,18-29,M,16319.3
49,Sur,17,18-29,F,6373.52
50,Norte,8,18-29,F,16193.52
51,Sur,15,18-29,M,14498.2
52,Sur,11,30-49,F,26246.96
53,Sur,15,18-29,M,13478.6
54,Sur,9,50+,F,16321.9
55,Sur,13,50+,F,28876.17
56,Sur,9,50+,M,20906.91
57,Norte,4,30-49,F,29363.36
58,Norte,2,30-49,M,29817.41
59,Norte,2,30-49,F,25409.99
60,Norte,2,50+,M,23900.36
61,Norte,6,30-49,F,24794.89
62,Norte,6,50+,F,23535.83
63,Sur,16,30-49,M,28728.66
64,Norte,1,30-49,M,23502.08
65,Norte,6,18-29,M,20455.09
66,Sur,11,18-29,F,13744.04
67,Norte,3,18-29,M,16379.68
68,Sur,11,18-29,F,18940.51
69,Norte,5,18-29,M,18258.6
70,Sur,11,30-49,F,20538.1
71,Sur,20,30-49,F,28166.39
72,Norte,8,50+,M,29878.56
73,Norte,1,50+,M,26318.37
74,Sur,12,30-49,F,21172.91
